Code,Name,Address,State,City,Hospital Class,ServiceType
 ,DIAGNOSTICS, , , , , 
 , , , , , , 
 ,LAGOS ISLAND, , , , , 
2340177,CRESTVIEW RADIOLOGY LIMITED- VI,302A JIDE OKI STREET OFF LIGALI AYORINDE VICTORIA ISLAND LAGOS,LAGOS,VICTORIA ISLAND,BRONZE,DIAGNOSTICS
2340523,SYNLAB- VI,"64 Adetokunbo Ademola Street, Victoria Island,",LAGOS,VICTORIA ISLAND,GOLD,DIAGNOSTICS
2340333,CLINA LANCET- VI,"3 BABATUNDE JOSE STREET, OFF ADETOKUNBO ADEMOLA",LAGOS,VICTORIA ISLAND,BRONZE,DIAGNOSTICS
2342549,VCARE DIAGNOSTICS LIMITED- VI,"100 Adetokunbo Ademola street, Victoria Island, Lagos",LAGOS,VICTORIA ISLAND,BRONZE,DIAGNOSTICS
2342506,ECHOLAB- VI,99 AJOSE ADEOGUN STREET,LAGOS,VICTORIA ISLAND,BRONZE,DIAGNOSTICS
2340860,AFRIGLOBAL MEDICARE - VICTORIA ISLAND     ,"Plot 1192A, Kasumu Ekemode Street, off Saka Tinubu Street, Victoria Island, Lagos. ",LAGOS,VICTORIA ISLAND,BRONZE,DIAGNOSTICS
2341057,EL-LAB,"44 OBALENDE ROAD (OFF KEFFI STREET) OBALENDE, IKOYI",LAGOS,IKOYI,GOLD,DIAGNOSTICS
2340333,CLINA LANCET - TBS,"TBS-Shop 8, TBS complex",Lagos,TBS,BRONZE,DIAGNOSTICS
2340227,ME CURE HEALTHCARE LEKKI,"Niyi Okunubi St, Lekki Phase One, Lekki",LAGOS,LEKKI,BRONZE,DIAGNOSTICS
2342720,JCP MAX DIAGNOSTIC CENTRE,"PLOT 14,BLOCK 93, AKANBI DISU, OFF PROVIDENCE STREET,LEKKI PHASE 1",LAGOS,LEKKI,BRONZE,DIAGNOSTICS
2344396,SAGE DIAGNOSTICS LIMITED,"PLOT 10, FOLA OSIBO STREET (BY ROAD 25 JUNCTION), LEKKI PHASE 1, LAGOS",LAGOS,LEKKI,BRONZE,DIAGNOSTICS
2342867,BLUE CORAL HEALTHCARE SERVICES,"1 AJIRAN ROAD, AGUNGI, OFF LEKKI-EPE EXPRESSWAY, ",LAGOS,LEKKI,BRONZE,DIAGNOSTICS
2342868,ITOHMED DIAGNOSTICS,"PLOT 9 VICTORIA CREST 3 ESTATE JUNCTION, BY ORCHID HOTEL ROAD, LEKKI",LAGOS,LEKKI,BRONZE,DIAGNOSTICS
2344539,TRANQUIL AND QUEST MEDICAL AND DIAGNOSTIC,"15 Anthony Etukudo Raod, Lekki, Phase 1, Lagos",LAGOS,LEKKI,SILVER,DIAGNOSTICS
2343184,BEACONHEALTH DIAGNOSTICS- LEKKI,"70 FATAI AROBIEKE STREET, LEKKI PHASE 1",LAGOS,LEKKI,BRONZE,DIAGNOSTICS
2345171,DOBIC HEALTH DIAGNOSTICS,"Ipwan building, beside I-fitness Gym Off L.W.S Cl, Jakande, Lekki Penninsula II, Lagos Lekki/ikate and environs Eti-osa Lagos",LAGOS,LEKKI,BRONZE,DIAGNOSTICS
2340227,ME CURE HEALTHCARE- AJAH,"No.1, Zina Estate, Beside Blenco Supermarket, Addo Road ",LAGOS,AJAH,BRONZE,DIAGNOSTICS
2341532,WELLMED HEALTHCARE,"kM 52, LEKKI -EPE EXPRESSWAY, AJAH, LAGOS",LAGOS,AJAH,BRONZE,DIAGNOSTICS
2343184,BEACONHEALTH DIAGNOSTICS- AJAH,"1, G.M International shopping mall, Opposite Jem-Royal Schools, ",LAGOS,AJAH,BRONZE,DIAGNOSTICS
2340395,CLINIX HEALTHCARE -  VGC/AJAH,"Landmark Building, KM.24, Lekki-Epe express Way,Berger Bus Stop, Ajah Lagos Office",Lagos,Ajah,BRONZE,DIAGNOSTICS
2342549,VCARE DIAGNOSTICS LIMITED - AJAH,"BLK F2 Shop 277, HFP Eastline Shopping complex Abraham Adesanya, Ajah",Lagos,Ajah,BRONZE,DIAGNOSTICS
,,,,,,
 ,LAGOS MAINLAND, , , , , 
2340333,CLINA LANCET - SURULERE,"44 Ishaga Rd, Surulere,  Lagos, Nigeria",LAGOS,SURULERE,BRONZE,DIAGNOSTICS
2340182,PRISM DIAGNOSTICS,"OYEDIRAN STREET, OFF BODE THOMAS STREET, SURULERE",LAGOS,SURULERE,BRONZE,DIAGNOSTICS
2340574,FOREMOST RADIOLOGY CONSULTANT LTD,"50 OGUNLANA DRIVE, SURULERE",LAGOS,SURULERE,BRONZE,DIAGNOSTICS
2341199,ARRIVE ALIVE DIAGNOSTIC AND IMAGING,"35 COLE STREET, SURULERE LAGOS",LAGOS,SURULERE,GOLD,DIAGNOSTICS
2342716,LASTMYLE DIAGNOSTICS SERVICES,4 ALHAJI DANMOLE STREET OFF ADELABU STREET MASHA SURULERE,LAGOS,SURULERE,BRONZE,DIAGNOSTICS
2342803,WELLANE HEALTH LIMITED,"4 ALHAJI DAMOLE STREET, OFF ADELABU, SURULERE, LAGOS",LAGOS,SURULERE,BRONZE,DIAGNOSTICS
2342549,VCARE DIAGNOSTICS LIMITED,40 Ishaga road before LUTH gate,LAGOS,SURULERE,BRONZE,DIAGNOSTICS
2341057,EL-LAB,"84 LAWANSON ROAD, SURULERE. LAGOS.",LAGOS,SURULERE,GOLD,DIAGNOSTICS
2341678,MEDICHECK HEALTH SCREENING SUITE,"46, ODUDUWA CRESCENT GRA IKEJA LAGOS",LAGOS,IKEJA,BRONZE,DIAGNOSTICS
2342506,ECHOLAB RADIOLOGY AND LABORATORY SERVICES LAGOS,"88 OPEBI ROAD, IKEJA",LAGOS,IKEJA,BRONZE,DIAGNOSTICS
2340860,AFRIGLOBAL MEDICARE,"8 MOBOLAJI BANK ANTHONY WAY, IKEJA",LAGOS,IKEJA,BRONZE,DIAGNOSTICS
2342549,VCARE DIAGNOSTICS LIMITED,"29, TOYIN STREET, IKEJA, LAGOS",LAGOS,IKEJA,BRONZE,DIAGNOSTICS
2343705,BOLA TINUBU HEALTH AND DIAGNOSTICS CENTRE,"LASUTH 1-5 Oba Akinjobi Street, GRA Ikeja",LAGOS,IKEJA,GOLD,DIAGNOSTICS
2340333,CLINA LANCET - IKEJA,"Ikeja- Local Government Multipurpose Corporative Society Building, 76 Mobolaji Bank Anthony Way, LGA, Opebi, Ikeja 100271, Lagos, Nigeria",Lagos,IKEJA,BRONZE,DIAGNOSTICS
2340177,CRESTVIEW RADIOLOGY AND DIAGNOSTICS - IKEJA ,"AVIATION PLAZA GROUD FLOOR OPPOSITE LASUTH, IKEJA LAGOS",Lagos,IKEJA,BRONZE,DIAGNOSTICS
2340523,SYNLAB- IKEJA,"AVIATION Plaza, Ikeja, Opposite LASUTH",Lagos,IKEJA,GOLD,DIAGNOSTICS
2344392,MEDPRIME DIAGNOSTICS,"78 AJAYI ROAD, OGBA. IKEJA",LAGOS,OGBA,BRONZE,DIAGNOSTICS
2340235,ME CURE HEALTHCARE OSHODI,"MECURE HOUSE, DEBO INDUSTRIAL COMPOUND, PLOT 6, BLOCK H, OSHODI INDUSTRIAL SCHEME, OSHODI APAPA EXPR",LAGOS,OSHODI,BRONZE,DIAGNOSTICS
2340395,CLINIX HEALTHCARE- ILUPEJU,"PLOT B, BLOCK 12,ALHAJI ADEJUMO AVENUE OFF GBAGADA OSHODI EXPRESSWAY, ANTHONY ILUPEJU",LAGOS,ILUPEJU,BRONZE,DIAGNOSTICS
2342781,PARAMOUNT LIFECARE,"PLOT 1093/94 4TH AVENUE, FESTAC TOWN",LAGOS,FESTAC TOWN,BRONZE,DIAGNOSTICS
2344523,ROVINA MEDICAL DIAGNOSTIC SERVICES,"PLOT 446 OLD OJO ROAD, CHRIST IN ME PLAZA, ABULE ADO BUS STOP, SATELLITE TOWN",LAGOS,FESTAC TOWN,BRONZE,DIAGNOSTICS
2340395,CLINIX HEALTHCARE - FESTAC/AMUWO-ODOFIN,"6. Ago Palaceway by Apple junction, Amuwo-odofin, Lagos Office",Lagos,Amuwo-Odofin,BRONZE,DIAGNOSTICS
,CLINIX HEALTHCARE - SATELLITE TOWN ,"33, AYINKA TIMSON DRIVE, OPPOSITE GOLDEN TREE HOTEL- ABULADO",Lagos,Ojo ,,DIAGNOSTICS
2343602,CORNERSTONE MEDICAL DIAGNOSTIC LIMITED,"CORNERSTONE TOWER, CASSIDY BUS STOP, OKOKOMAIKO",LAGOS,OKOKOMAIKO,BRONZE,DIAGNOSTICS
,,,,,,
2342826,EROM HEALTHCARE DIAGNOSTICS,"1A, OLABODE STREET, OFF INTERNATIONAL AIRPORT ROAD, 7 AND 8 BUS STOP, AJAO ESTATE, LAGOS",LAGOS,ISOLO,BRONZE,DIAGNOSTICS
2342865,PONS MEDICAL DIAGNOSTICS,"13 IDIMU-EGBEDA ROAD, LAB BUS STOP, ISHERI ROUNDABOUT, IDIMU",LAGOS,IDIMU,BRONZE,DIAGNOSTICS
2342889,CANAANSHORE MEDICAL DIAGNOSTICS,"2 ABUNDANCE AVENUE, OFF ADEY SHONIBARE ROAD, PEACE ESTATE, OPP IBA HOUSING ESTATE, AGBOROKO",LAGOS,OJO,BRONZE,DIAGNOSTICS
2340395,CLINIX HEALTHCARE - AJEGUNLE,"78 Ojo road, Ajegunle, (Okoya bus stop), Apapa Lagos. Office",Lagos,Apapa,BRONZE,DIAGNOSTICS
2342996,MALENS DIAGNOSTIC SOLUTIONS,"62 BEACH ROAD, BESIDE KINGSFIELD COLLEGE, CAPPA JUNCTION, EBUTE, IKORODU",LAGOS,IKORODU,BRONZE,DIAGNOSTICS
2342996,MALENS DIAGNOSTIC SOLUTIONS - HEAD OFFICE,"52, T.O.S Benson road, beside Ikorodu licensing office,near Ikorodu general hospital, Library bus stop, Ikorodu, Lagos",Lagos,Ikorodu Licensing office,BRONZE,DIAGNOSTICS
