Code,Name,Address,State,City,Hospital Class,ServiceType
 ,LAGOS ISLAND, , , , , 
2340255,LIFELINE CHILDREN S HOSPITAL LEKKI,1A AUGUSTINE ANOZIE STREET LEKKI PHASE 1,LAGOS,LEKKI,GOLD,PAEDIATRICS
2344173,COPTIC HOSPITAL,"Plot1,Block 11, Abila Road, Oniru, VI",LAGOS,VICTORIA ISLAND,GOLD,GENERAL
2340784,PAEDIATRIC PARTNERS LIMITED,"314A AKIN OGUNLEWE ROAD OFF LIGALI AYORINDE,VICTORIA ISLAND",LAGOS,VICTORIA ISLAND,PLATINUM,PAEDIATRICS
2340916,SOUTH SHORE WOMENS CLINIC,"PLOT 1717 MIKE ADENUGA CL, VICTORIA ISLAND LAGOS",LAGOS,VICTORIA ISLAND,PLATINUM,PAEDIATRICS
2341262,THE CHILDRENS PRACTICE LTD,"25 RAYMOND NJOKU STREET OFF AWOLOWO ROAD IKOYI, LAGOS",LAGOS,IKOYI,GOLD,PAEDIATRICS
2344346,ATLANTIS PEDIATRIC HOSPITAL,"PLOT 64, FOLA OSIBO ROAD BY VICTORIA AROBIEKE JUNCTION LEKKI PHASE 1",LAGOS,LEKKI,GOLD,GENERAL
2344257,XSERVE CHILDREN HOSPITAL LEKKI,"CHEVRON ALTERNATIVE ROUTE, HOUSE 3C BESIDE WATER BROOK SCHOOL, LEKKI",LAGOS,LEKKI,SILVER,PAEDIATRICS
 , , , , , , 
 ,LAGOS MAINLAND, , , , , 
2340206,THE SHEPERD MEDICAL CENTRE PAEDIATRICS,NO 2 SALVATION ROAD OPEBI,LAGOS,IKEJA,GOLD,PAEDIATRICS
2340213,MOTHER AND CHILD HOSPITAL,"39A, ADENIYI JONES AVENUE, IKEJA, LAGOS.",LAGOS,IKEJA,COBALT,PAEDIATRICS
2340256,LIFELINE CHILDREN S HOSPITAL SURULERE,"133, OGUNLANA DRIVE SURULERE",LAGOS,SURULERE,GOLD,PAEDIATRICS
2340356,"OUTREACH WOMEN AND CHILDREN HOSPITAL, FESTAC",4TH AVENUE FESTAC TOWN LAGOS,LAGOS,FESTAC TOWN,GOLD,PAEDIATRICS
2340374,"OUTREACH WOMEN AND CHILDREN HOSPITAL, OKOTA","125 Okota Road Opp Slot, Cele Bus Stop, Okota, Isolo, Lagos",LAGOS,OKOTA,GOLD,PAEDIATRICS
2340933,MAYCENTRAL CLINIC AND IMMUNIZATION CENTRE,"NO 22 ST FINBARS STREET,AKOKA,YABA; 2ND AVENUE, 200ROAD, HOUSE 7 (BESIDE ZENITH BANK, FESTAC; 132, Awolowo Road, IKOYI, (behind Hess Pharmacy, Opposite SPAR)",LAGOS,VARIOUS,BRONZE,PAEDIATRICS
2340975,OUTREACH WOMEN AND CHILDREN HOSPITAL SATELLITE,"23 COMMUNITY ROAD,SATELLITE TOWN",LAGOS,SATELLITE TOWN,BRONZE,PAEDIATRICS
2341073,INTON PAEDIATRIC HOSPITAL,"6 ADELEKAN SALAKO STREET OFF IJAYE ROAD BY CATERPILLAR BUS STOP BESIDE DIAMOND BANK, OGBA",LAGOS,OGBA,BRONZE,PAEDIATRICS
2341239,XSERVE CLINICS,"Alhaji Masha Road, by the Foot Bridge, At the end of Alhaji Masha Bridge, Surulere - Lagos. ",LAGOS,SURULERE,BRONZE,PAEDIATRICS
2341416,ABBYS PAEDIATRICS CARE,3 REDEMPTION CLOSE OMOLE PHASE 2,LAGOS,IKEJA,GOLD,PAEDIATRICS
2342835,BLOOM BOOM PAEDIATRIC CENTRE,"11A, CHIEF SAMUEL AJAYI STREET, MAGODO GRA 2, LAGOS",LAGOS,MAGODO,PLATINUM,PAEDIATRICS
2343804,OUTREACH FAMILY HOSPITAL,"157 IJU ROAD, FAGBA B/STOP, BESIDE ECOBANK, IJU ISHAGA",LAGOS,AGEGE,GOLD,PAEDIATRICS
 , , , , , , 
 ,UPCOUNTRY, , , , , 
2340800,CHILDCARE AND WELLNESS CLINICS,"7 FEZ STREET, OFF KUMASI CRESCENT NEAR FERMA, WUSE II",ABUJA,WUSE,PLATINUM PLUS,PAEDIATRICS
2341076,CRYSTAL PAEDIATRICS CLINICS,4 IKOT EKPENE CLOSE OFF EMEKA ANYAOKU STREET GARKI AREA 11 ABUJA,ABUJA,GARKI,PLATINUM,PAEDIATRICS
2341441,St Raphael Childrens Hospital,"No 1, 69 Road Off 6th Avenue, Adkan Estate, Gwarinpa",ABUJA,GWARINPA,SILVER,PAEDIATRICS
2343766,NILE VALLEY MOTHER AND CHILD HOSP LTD,"PLOT 602 DAVID JEMIBEWON CRESCENT, OFF OLADIPO DIYA STREET, GUDU DISTRICT",ABUJA,APO,GOLD,PAEDIATRICS
2341501,HOSPIMED CLINICS AND CHILDRENS HOSPITAL,"PLOT 1294 BAMANGAR TUKUR STREET, OFF ADESOJI ADEREMI STREET, GUDU",ABUJA,APO,GOLD,PAEDIATRICS
2341590,STEDMED MEDICAL CENTER AND CHILDREN HOSPITAL,NO. NC3 KARU NEIGHBOURHOOD WAY KARU SITE.,ABUJA,KARU,SILVER,PAEDIATRICS
 , , , , , , 
2340362,TEHILA CHILDRENS HOSPITAL,"14 TRANS-WOJI ROAD, WOJI, PORT-HARCOURT, RIVERS STATE, NIGERIA",RIVERS,PORT HARCOURT WOJI,GOLD,PAEDIATRICS
2340471,OMEGA CHILDREN HOSPITAL,"5 ADC CLOSE, OFF ADA GEORGE ROAD, PORT HARCOURT",RIVERS,PORT HARCOURT,BRONZE,PAEDIATRICS
2340954,ERLINGS CHILDRENS HOSPITAL,35 NTA/APARA LINK ROAD RUMUIGBO PORT HARCOURT,RIVERS,PORT HARCOURT,SILVER,PAEDIATRICS
2341521,PAEDIATRIC CARE HOSPITAL,3 IDIABON CLOSE OFF IDIAGBON ROAD OPPOSITE RCCG KINGS PALACE GRA PHASE 3,RIVERS,PORT HARCOURT,PLATINUM PLUS,PAEDIATRICS
2341733,ADANTA CHILDREN HOSPITAL,NO 44 EVO ROAD G.R.A PHASE 2 PORT HARCOURT,RIVERS,PORT HARCOURT,BRONZE,PAEDIATRICS
2340754,OASIS CHILDREN HOSPITAL,"PLOT 1, BLOCK 2, FEDERAL HOUSING ESTATE, RUMUDANYA",RIVERS,ABONNEMA,BRONZE,PAEDIATRICS
2344394,BELANKA CHILDREN HOSPITAL,"4 OASIS GARDEN ROAD OPPOSITE RCG RESURRECTION  POWER PARISH,OFF GYNESCOPE STREET,RUKPAKWULUSI NEW LAYOUT,PORT HARCOURT.",RIVERS STATE,PORTHARCOURT,GOLD,PAEDIATRICS
 , , , , , , 
2341959,CHRIST THE KING SPECIALIST AND CHILDREN'S HOSPITAL ONITSHA,30 ZIK'S AVENUE POB 4567 FEGGE ONITSHA,ANAMBRA,ONITSHA,BRONZE,PAEDIATRICS
2340899,OBIJACKSON CHILDREN S HOSPITAL,"NO 2 MADONNA UNIVERSITY ROAD OKIJA, ANAMBRA STATE",ANAMBRA,IHIALA,BRONZE,PAEDIATRICS
2341471,PRIME SPECIALIST CHILDREN'S HOSPITAL,"3 PRIME HOSPITAL ROAD, NEW FRIENDS ESTATE, AMAWBIA BEHINFD KENNETH DIKE SECONDARY SCHOOL",ANAMBRA,AWKA,SILVER,PAEDIATRICS
 , , , , , , 
2340937,ST MARYS CHILDREN AND COMMUNITY HOSPITAL,"klm 3, Old Orlu-Owerri Road, PMB 7 Orlu, Imo State",IMO,OKIGWE,BRONZE,PAEDIATRICS
,,,,,,
2340896,NEDEKE CHILDREN HOSPITAL,34 UDO EKPO MKPO STREET OFF NWANIBA ROAD UYO,UYO,AKWA IBOM,SILVER,PAEDIATRICS
 , , , , , , 
2342729,CALABAR WOMEN AND CHILDREN HOSPITAL,164/165 MURTALA MOHAMMED HIGHWAY CALABAR,CROSS RIVER,CALABAR,BRONZE,PAEDIATRICS
 , , , , , , 
2340870,MATERNAL AND CHILD SPECIALISTS ADO EKITI,"NOVA ROAD, ADO EKITI",EKITI,ADO EKITI,SILVER,PAEDIATRICS
,,,,,,
2343004,PST TRIPLE CARE MEDICAL SERPST VICES NIG. LTD,"5 ITUKU STREET, NEW HAVEN.",Enugu,Enugu,GOLD,Paediatrics
 , , , , , , 
2340624,MOUNT HOREB SPECIALIST HOSPITAL,"MD7/8U F AHMED ROAD, BEHIND POWA SHOPPING COMPLEX, CONSTITUTION ROAD, KADUNA",KADUNA,KADUNA,BRONZE,GENERAL
 , , , , , , 
2340910,OTUNBA TUNWASE NATIONAL PEDIATRIC CENTRE,"OSOSA JUNCTION, SAGAMU-BENIN EXPRESSWAY, IJEBU-ODE.",OGUN,IJEBU ODE,GOLD,PAEDIATRICS
 , , , , , , 
